Id;Title;Description;ReleaseYear;Genre;AgeLimit;Duration;ViewCount;Director;Actors;Budget;Revenue;Ratings
11;A Mátrix;Egy számítógépes programozó rájön, hogy az általa ismert világ csak egy mesterséges szimuláció.;1999;Sci-Fi;16;136;15380000;Lana Wachowski|Lilly Wachowski;Keanu Reeves|Laurence Fishburne|Carrie-Anne Moss|Hugo Weaving|Joe Pantoliano|Gloria Foster;63000000;467200000;9|10|9|10|9
12;Gladiátor;Egy elárult római hadvezér gladiátorként tér vissza, hogy bosszút álljon családja gyilkosán.;2000;Akció;16;155;13970000;Ridley Scott;Russell Crowe|Joaquin Phoenix|Connie Nielsen|Oliver Reed|Richard Harris|Derek Jacobi|Djimon Hounsou;103000000;465400000;10|9|9|10|9
13;A bárányok hallgatnak;Egy fiatal FBI-ügynök egy bebörtönzött sorozatgyilkostól kér segítséget egy másik gyilkos elfogásához.;1991;Thriller;18;118;10260000;Jonathan Demme;Jodie Foster|Anthony Hopkins|Scott Glenn|Ted Levine|Anthony Heald;19000000;272700000;9|10|9|9|10
14;Hetedik;Két nyomozó egy sorozatgyilkos után kutat, aki a hét főbűn alapján választja ki áldozatait.;1995;Thriller;18;127;11890000;David Fincher;Brad Pitt|Morgan Freeman|Gwyneth Paltrow|Kevin Spacey|R. Lee Ermey|John C. McGinley;33000000;327300000;9|9|10|9|9
15;Harcosok klubja;Egy kiégett irodai alkalmazott egy karizmatikus férfival együtt titkos klubot alapít.;1999;Dráma;18;139;13150000;David Fincher;Brad Pitt|Edward Norton|Helena Bonham Carter|Meat Loaf|Jared Leto|Zach Grenier;63000000;101200000;9|10|9|8|10
16;Schindler listája;Egy német üzletember fokozatosan felismeri a zsidóüldözés borzalmait, és munkásai megmentéséért küzd.;1993;Dráma;16;195;8450000;Steven Spielberg;Liam Neeson|Ben Kingsley|Ralph Fiennes|Caroline Goodall|Jonathan Sagall|Embeth Davidtz|Mark Ivanir;22000000;322100000;10|10|9|10|10
17;Jurassic Park;Egy különleges szigeten dinoszauruszokat hoznak létre, ám a kísérlet hamarosan veszélyessé válik.;1993;Kaland;12;127;17420000;Steven Spielberg;Sam Neill|Laura Dern|Jeff Goldblum|Richard Attenborough|Bob Peck|Martin Ferrero|BD Wong;63000000;1092000000;9|9|10|8|9
18;Vissza a jövőbe;Egy tinédzser egy időgéppel véletlenül a múltba kerül, ahol veszélybe sodorja saját jövőjét.;1985;Sci-Fi;12;116;12680000;Robert Zemeckis;Michael J. Fox|Christopher Lloyd|Lea Thompson|Crispin Glover|Thomas F. Wilson|Claudia Wells;19000000;388800000;9|10|9|9|10
19;A dicsőség ösvényei;Egy francia ezredes három katonát próbál megvédeni a gyávaság vádjától az első világháborúban.;1957;Dráma;16;88;3650000;Stanley Kubrick;Kirk Douglas|Ralph Meeker|Adolphe Menjou|George Macready|Wayne Morris;935000;5250000;9|9|10|9|8
20;A jó, a rossz és a csúf;Három fegyveres egy elveszett aranykincs nyomában próbál túljárni egymás eszén az amerikai polgárháború idején.;1966;Western;16;178;6980000;Sergio Leone;Clint Eastwood|Eli Wallach|Lee Van Cleef|Aldo Giuffre|Mario Brega|Luigi Pistilli;1200000;25200000;10|9|10|9|10
21;Whiplash;Egy fiatal jazzdobos és könyörtelen tanára között egyre keményebb küzdelem alakul ki a tökéletességért.;2014;Dráma;16;106;7420000;Damien Chazelle;Miles Teller|J.K. Simmons|Paul Reiser|Melissa Benoist|Austin Stowell;3300000;49300000;9|10|9|10|9
22;Parazita;Egy szegény család tagjai fokozatosan beépülnek egy gazdag család életébe.;2019;Thriller;16;132;6840000;Bong Joon Ho;Song Kang-ho|Lee Sun-kyun|Cho Yeo-jeong|Choi Woo-shik|Park So-dam|Jang Hye-jin;11400000;258800000;10|9|10|10|9
23;A prestige;Két rivális bűvész megszállott versengése egyre veszélyesebb következményekhez vezet.;2006;Misztikus;12;130;9210000;Christopher Nolan;Christian Bale|Hugh Jackman|Scarlett Johansson|Michael Caine|Piper Perabo|Rebecca Hall|David Bowie;40000000;109700000;9|9|10|8|9
24;Ryan közlegény megmentése;Egy katonai alakulat veszélyes küldetésre indul, hogy megtaláljon egy eltűnt amerikai katonát.;1998;Háborús;16;169;11340000;Steven Spielberg;Tom Hanks|Matt Damon|Tom Sizemore|Edward Burns|Barry Pepper|Adam Goldberg|Vin Diesel|Jeremy Davies;70000000;482300000;10|9|10|9|10
25;A tégla;Egy beépített rendőr és egy rendőrségi informátor próbálja leleplezni egymást Boston bűnözői világában.;2006;Krimi;18;151;8750000;Martin Scorsese;Leonardo DiCaprio|Matt Damon|Jack Nicholson|Mark Wahlberg|Martin Sheen|Vera Farmiga|Ray Winstone|Alec Baldwin;90000000;291500000;9|9|10|9|9
26;Életrevalók;Egy gazdag, lebénult férfi és új gondozója között váratlan és mély barátság alakul ki.;2011;Vígjáték;12;112;7960000;Olivier Nakache|Éric Toledano;François Cluzet|Omar Sy|Anne Le Ny|Audrey Fleurot|Clotilde Mollet|Alba Gaïa Bellugi;9500000;426600000;9|10|9|10|9
27;A zongorista;Egy lengyel zongoraművész megpróbál túlélni a második világháború és a holokauszt borzalmai között.;2002;Dráma;16;150;6120000;Roman Polanski;Adrien Brody|Thomas Kretschmann|Frank Finlay|Maureen Lipman|Emilia Fox|Ed Stoppard;35000000;120100000;10|9|10|9|10
28;Django elszabadul;Egy felszabadított rabszolga egy fejvadásszal együtt indul útnak, hogy megmentse feleségét egy kegyetlen ültetvényestől.;2012;Western;18;165;10860000;Quentin Tarantino;Jamie Foxx|Christoph Waltz|Leonardo DiCaprio|Kerry Washington|Samuel L. Jackson|Walton Goggins|Don Johnson;100000000;426100000;9|10|9|10|9
29;A tizenkettes számú esküdt;Tizenkét esküdtnek kell eldöntenie egy gyilkossággal vádolt fiatalember sorsát.;1957;Dráma;12;96;4310000;Sidney Lumet;Henry Fonda|Lee J. Cobb|Martin Balsam|John Fiedler|E. G. Marshall|Jack Klugman|Ed Begley|Jack Warden|Joseph Sweeney|Ed Binns|George Voskovec|Robert Webber;350000;1000000;10|9|10|9|10
30;A Wall Street farkasa;Egy ambiciózus tőzsdeügynök féktelen gazdagsága és hatalomvágya végül saját birodalmának összeomlásához vezet.;2013;Életrajzi;18;180;12370000;Martin Scorsese;Leonardo DiCaprio|Jonah Hill|Margot Robbie|Rob Reiner|Kyle Chandler|Cristin Milioti|Matthew McConaughey|Jon Bernthal|Jean Dujardin;100000000;406900000;9|9|10|8|9
