Id;SeriesId;Title;Season;EpisodeNumber;Duration;ReleaseDate;ViewCount
1041;103;Szívtipró kómában;1;11;22;1995-01-05;610000
1042;103;A masszázs története;1;12;22;1995-01-12;600000
1043;103;Aki kíváncsi, mást fog látni;1;13;22;1995-01-19;590000
1044;103;A szerelmesek napja;1;14;22;1995-02-09;580000
1045;103;A tragikus karrierista;1;15;22;1995-02-16;570000
1046;103;Ursula, az ikertestvér;1;16;22;1995-02-23;560000
1047;103;A vészhelyzetes dokik kora;1;17;22;1995-03-02;550000
1048;103;Póker, a férfias játék;1;18;22;1995-03-23;540000
1049;103;Itt a majom, hol a majom;1;19;22;1995-03-30;530000
1050;103;A szemét szájsebész;1;20;22;1995-04-06;520000
1051;103;A felnőtt majom átka;1;21;22;1995-04-27;510000
1052;103;Az álmok mindent megkevernek;1;22;22;1995-05-04;500000
1053;103;Szülőszoba blues;1;23;22;1995-05-11;490000
1054;103;A szerelem elágazó ösvényei;1;24;22;1995-05-18;480000
1055;104;Bevezető;1;1;44;2004-11-16;680000
1056;104;Apaság;1;2;43;2004-11-23;660000
1057;104;Occam borotvája;1;3;44;2004-11-30;645000
1058;104;Anyaság;1;4;43;2004-12-07;630000
1059;104;Elkárhozol, így is úgy is;1;5;44;2004-12-14;615000
1060;104;Szókratészi módszer;1;6;44;2004-12-21;600000
1061;104;Hűség;1;7;44;2005-01-11;590000
1062;104;Méreg;1;8;44;2005-01-18;580000
1063;104;Újraélesztés;1;9;44;2005-01-25;570000
1064;104;Kórtörténet;1;10;44;2005-02-01;560000
1065;104;Elvonási tünetek;1;11;44;2005-02-08;550000
1066;104;Sport-szer;1;12;44;2005-02-15;540000
1067;104;Átok;1;13;44;2005-02-22;530000
1068;104;Irányítás;1;14;44;2005-03-01;520000
1069;104;Maffiózók;1;15;44;2005-03-15;510000
1070;104;Súlyos eset;1;16;44;2005-03-22;500000
1071;104;Példakép;1;17;44;2005-03-29;490000
1072;104;Gyerekek és a fürdővíz;1;18;44;2005-04-12;480000
1073;104;Gyerekek;1;19;44;2005-04-19;470000
1074;104;A szerelem fáj;1;20;44;2005-04-26;460000
1075;104;A méregtelenítés;1;21;44;2005-05-03;450000
1076;104;Három történet;1;22;44;2005-05-10;440000
1077;105;Vörös nyomok;1;1;43;2008-09-23;570000
1078;105;Vörös haj;1;2;43;2008-09-30;555000
1079;105;Vörös part;1;3;43;2008-10-07;540000
1080;105;Asszonyok vörösben;1;4;43;2008-10-14;525000
1081;105;Vörös erdő;1;5;43;2008-10-21;510000
1082;106;A kezdetek;1;1;23;2005-09-19;680000
1083;106;A lila zsiráf;1;2;22;2005-09-26;660000
1084;106;A szabadság édes íze;1;3;22;2005-10-03;645000
1085;106;Az ing visszatér;1;4;22;2005-10-10;630000
1086;107;Isten hozott a börtönben;1;1;56;2005-08-29;650000
1087;107;Lázadás;1;2;45;2005-08-29;635000
1088;107;Álmatlanul;1;3;43;2005-09-05;620000
1089;107;Édes méreg;1;4;44;2005-09-12;605000
1090;107;Öld meg Lincolnt!;1;5;44;2005-09-19;590000
1091;108;Túlélők, első rész;1;1;42;2004-09-22;620000
1092;108;Túlélők, második rész;1;2;42;2004-09-29;605000
1093;108;Tiszta lappal;1;3;42;2004-10-06;590000
1094;108;A Nagy Túra;1;4;42;2004-10-13;575000
1095;109;Régen és most;1;1;53;2006-10-01;640000
1096;109;Krokodil;1;2;54;2006-10-08;625000
1097;109;Kivirágzás;1;3;51;2006-10-15;610000
1098;109;Segítsünk a fiúnak;1;4;57;2006-10-22;595000
1099;109;Szerelem amerikai módra;1;5;55;2006-10-29;580000
1100;110;Genezis;1;1;49;2006-09-25;550000
1101;110;Ne nézz vissza!;1;2;43;2006-10-02;535000
1102;110;Egy hatalmas ugrás;1;3;43;2006-10-09;520000
1103;110;Ütközés;1;4;43;2006-10-16;505000
1104;110;Hiro-k;1;5;43;2006-10-23;490000
