StudentId;TeacherId;Subject;Value;Date
2;102;Magyar nyelv és irodalom;4;2026-09-05
13;106;Biológia;3;2026-09-05
14;101;Matematika;4;2026-09-16
26;101;Matematika;3;2026-09-12
5;106;Biológia;5;2026-09-16
29;105;Hálózati ismeretek;4;2026-09-12
13;102;Magyar nyelv és irodalom;3;2026-09-16
4;103;Programozás;5;2026-09-19
26;106;Biológia;5;2026-09-04
21;110;Webprogramozás;4;2026-09-12
1;105;Hálózati ismeretek;3;2026-09-13
19;103;Programozás;4;2026-09-03
18;106;Biológia;3;2026-09-05
27;106;Biológia;4;2026-09-03
27;105;Hálózati ismeretek;4;2026-09-16
12;102;Magyar nyelv és irodalom;4;2026-09-03
14;103;Programozás;5;2026-09-03
12;110;Webprogramozás;1;2026-09-02
19;105;Hálózati ismeretek;5;2026-09-04
20;103;Programozás;4;2026-09-13
5;102;Magyar nyelv és irodalom;4;2026-09-03
16;106;Biológia;1;2026-09-03
17;104;Angol nyelv;4;2026-09-12
13;110;Webprogramozás;2;2026-09-16
13;101;Matematika;5;2026-09-03
2;110;Digitális kultúra;5;2026-09-05
22;106;Biológia;3;2026-09-13
24;101;Matematika;3;2026-09-02
16;102;Magyar nyelv és irodalom;3;2026-09-19
30;102;Magyar nyelv és irodalom;4;2026-09-05
7;106;Biológia;5;2026-09-13
1;110;Webprogramozás;2;2026-09-16
1;102;Magyar nyelv és irodalom;4;2026-09-02
4;104;Angol nyelv;4;2026-09-05
5;103;Programozás;5;2026-09-03
22;101;Matematika;3;2026-09-03
6;102;Magyar nyelv és irodalom;5;2026-09-19
16;104;Angol nyelv;2;2026-09-12
13;103;Programozás;4;2026-09-04
5;104;Angol nyelv;4;2026-09-04
19;106;Biológia;4;2026-09-12
16;101;Matematika;3;2026-09-04
5;110;Digitális kultúra;4;2026-09-16
